,comments
2110,"Joe declares the ending of this 20 year war.

Q:  Was this a declaration of Victory, Defeat or Surrender or..?"
2111,It isn't over till every American comes home!!
2112,America   A sin  on this Beautiful World.
2113,my ass he ended the war all he did was restart it
2114,"Should have left all the 120,000 over there.  Now we gotta pay them money for the next 100 years."
2115,I was hoping he would fall on his way to the podium
2116,"last two presidents have been complete and total failures, objectively. can america really not pick better leaders than a clown and a senile old man? tough times for america"
2117,"In other words when somebody kicks your ass take it as a big success, first lesson 
Second would be, when terrorists strike say thank you very much"
2118,"The question isn't about leaving, but how you do it.  You f'd it up! You got people killed! Take ownership."
2119,COMM' ON AMERICA! LETS I M P E A C H BIDEN/HARRIS!!!!!!
2120,I CAME TO SEE THE DISLIKES---------   I WASNT DISAPPOINTED
2121,"I'm thinking  i'll move to canada  to become canadian for next few years, or until the republicans impeach him which ever come first, and I'll come back"
2122,A coward.👍
2123,Wait the mission was a success?
2124,80 million votes and everyone hates this guy.  Explain please?
2125,"Man, you can hear that cognitive decline in every sentence."
2126,"Is it just me, or has Joe lost his fastball?"
2127,"And the war has just begun. If you listen carefully at the end of this video he quickly says ""Merry Christmas everyone."" ???????????"
2128,So was it Trump's fault or was this a great success?  I'm confused.
2129,How do you sleep at night Joe Biden
2130,"“Never underestimate Joe’s ability to F..k this up.”
Barack Obama"
2131,Hope he ends up in a nursing home being neglected by them
2132,Surrendering is not “ending” the war.
2133,First of did you see the green screen and the face before he came in such a fraud!
2134,Blood on your hands.
2135,Glad we got out no matter what the cost. Let’s move on now.
2136,What a disgrace to this country
2137,The troops may be out... But this is no victory...
2138,BE READY   MORE CHAOS IS COMING   AND NOT JUST AFGHANISTAN
2139,joe biden BIDING HIS TIME
2140,Of course he didn't answer questions cause he can't.
2141,He must be dreaming.....
2142,"Blame, blame, blame.. look in the mirror"
2143,I'm the fourth president 23:20😂😂😂😂
2144,For now
2145,"The BBC has an article about how US soldiers mudered innocent Afghans in the battle where 13 US soldiers died. Why aren't you talking about this, Joe?"
2146,What happened to leaving no man behind????????
2147,"2.1k likes, 5.8k dislikes...80 million votes lol ok joe"
2148,Impeach 46
2149,اب جنگ  امریکی  زمین پر ھو  گی ۔
2150,Thank you Joe!!!! It took guts and you have it in spades!!!! 7 more years.
2151,I'm still waiting on that accountability that we've been promised
2152,Lol most votes in history.   Look at him go.
2153,logical fallacies at their best.
2154,"13 Marines dead on your hands, but unfortunately you don't care."
2155,"Basically, ""We lost the war and never should have fought, but we can retreat like nobody's business. 'Murica."""
2156,Thank you democrats for this im.b.e.cil.e!
2157,"Liar. Full of lies.  Breached peaceful agreements many a time.
Rest assure you shall be taught lessons in American land  now."
2158,"Lies, lies and more lies. AND it was Trump's fault. Wow, what a leader."
2159,soo I'm confused... did you just pull out because Trump forced you with his May date or because you thought it was a great idea for America's future. You are confusing me.
2160,"If what we just saw was ""being prepared for every contingency,"" I'd hate to see what happens if someone catches us napping."
2161,joe you need get are men out that are still there do your job are get out we need someone with ball
2162,Not my president impeach him now
2163,Amber alert 🚨 80 yr old white male wandering in DC thinks he’s president
2164,The Ass end of the Democratic party!! Complete Failure!!
2165,"This is like setting a building on fire, rescuing half of the people inside and then bragging about how many people you rescued. This guy is sick in the head."
2166,"Am I hearing this fool right??? Omg ,those of u that voted for this wonna be sooth sayer,,,come get him."
2167,TRUMP FOREVER!!
2168,Oh if this was Trump….
2169,"Sorry, not caught up. With the comments it seems like we are abandoning the troops in Afghanistan? Is that right?"
2170,You can see his brain misfire as he's reading the teleprompter.
2171,He’s reading off of a teleprompter
2172,Afghans some hardddddddd pppllll…they don’t care who occupies them they ain’t GOINNG NOWHERE
2173,"Day 17, Americans trapped behind enemy lines."
2174,#notourpresident
2175,The way Biden kept touching his lips it looked like he was trying to stop himself from drooling. The country deserves this for electing a man who they knew was senile.
2176,HE JUST USED MY TAX PAYING MONEY TO FUND TERRORISTS BY LEAVING ALL THAT EQUIPMENT BEHIND..
2177,What an utter joke!!
2178,"If he can blame Trump for the things that fall to pieces, then why can’t Trump get credit for the things that go right. You can’t inherit bad, without inheriting the good."
2179,Did Biden get lost again....silver alert time
2180,"They must've cutt off the part when he said ""we only left behind the Americans that were unvaxed so, we don't want them here anyway!"""
2181,Someone's due for a lobotomy
2182,"What a crock of crap...but of course, there are those that will still believe him/ them"
2183,"Oh, it hasn't ended. It just got worse."
2184,joe”ker” biden 🃏🤡
2185,"Nice high tech equipment that he left for the Chinese and Russians.

Which included a system to shoot down rockets and mortars."
2186,希望友善对待中国🇨🇳
2187,🛑It's about the withdrawal debacle the fact that he was vacationing in Delaware his press secretary was vacationing so the result you got recorded message and also his secretary of state was vacationing as if this withdrawal hadn't been planned just thought they could pull the plug without notifying the Afghans or coordinating with our NATO allies who were only there on our behalf
2188,"I refuse to watch it. I know for a fact he won't say anything worth while. We won't get any straight answers. Just a bunch of political babble ""this was bad, i'm real sad, such a shame, we all are sad, this was a bad thing"" absolutely useless noise."
2189,How dare you.
2190,"He says ""Tal-ee-bahn"" just like BHO did."
2191,"LOLOLOL
THEY LEFT BEHIND A THREE YEAR OLD IN AFGANISTAN"
2192,Our country cant surprise the next 3.5 years with this potato.
2193,Why biden ain't talking about the moment US leave Afghanistan an American informed was hang from Black hawk and hover around the city..
2194,joe binder number 1
2195,I was just at Dover Air Force Base checking my watch four times as the bodies of our dead soldiers were being transferred Jill told me I was a good boy and I was allowed to get a Chocolate Chocolate Chip Ice Cream Cone Oh Boy I just couldn't wait
2196,"It's not if to get out of Afghanistan,,  It's how you did it dummy.  Seems like there was no tact at all."
2197,I literally cringe listening to him
2198,Afganistán isn’t our county 😐good we already wasted 2.6 trillions on war for no reason and that’s without interested 😮‍💨so more like 6.5 trillions
2199,What's a CLOWN !
2200,God has to protect our troops because we know you won’t Joe
2201,I just came here for the comments.
2202,Treason
